中文名,英文名,简称,创办时间,类型,主管部门
北京大学,Peking University,北大,1898年,综合,中华人民共和国教育部
清华大学,Tsinghua University,清华,1911年,综合,中华人民共和国教育部
复旦大学,Fudan University,复旦·FUDAN,1905年（乙巳年）6月29日,综合,中华人民共和国教育部
浙江大学,Zhejiang University,浙大、ZJU,1897年5月21日,综合,中华人民共和国教育部
南京大学,Nanjing University,南大(NJU),1902年(壬寅年),综合类,中华人民共和国教育部
上海交通大学,Shanghai Jiao Tong University,交通大学、上海交大（SJTU）,1896年（清光绪二十二年）,综合,中华人民共和国教育部
华中科技大学,Huazhong University of Science and Technology,华中大（HUST）,1952年,综合类,中华人民共和国教育部
中国科学技术大学,University of Science and Technology of China,中国科大（USTC）,1958年9月,综合,中国科学院
中国人民大学,Renmin University of China,人大、RUC,1937年（丁丑年）8月,综合,中华人民共和国教育部
天津大学,Tianjin University,天大（英：TJU）,1895年10月2日,理工类,中华人民共和国教育部
武汉大学,Wuhan University,武大（WHU）,1893年,综合,中华人民共和国教育部
南开大学,"Nankai University, NKU",南开,1919年,综合类,中华人民共和国教育部
山东大学,Shandong University,山大（SDU）,1901年（清光绪二十七年）,综合,中华人民共和国教育部
中山大学,Sun Yat-sen University (SYSU),中大,1924年（甲子年）,综合,中华人民共和国教育部
西安交通大学,Xi’an Jiaotong University,西安交大、西交大、XJTU,1896年,综合类,中华人民共和国教育部
哈尔滨工业大学,Harbin Institute of Technology,哈工大（HIT）,1920年（庚申年）,理工,中华人民共和国工业和信息化部
东南大学,Southeast University ,东大（SEU）,1902年,综合类,中华人民共和国教育部
四川大学,Sichuan University,川大、SCU,1896年,综合,中华人民共和国教育部
吉林大学,Jilin University,吉大（JLU）[4] ,1946年,综合,中华人民共和国教育部
同济大学,Tongji University,同济（TJU）,1907年（丁未 光绪33年）,综合,中华人民共和国教育部
北京航空航天大学,Beihang University,北航、BUAA[3] ,1952年,理工,中华人民共和国工业和信息化部
北京师范大学,Beijing Normal University,北师大、BNU,1902年,师范类,中华人民共和国教育部
厦门大学,Xiamen University,厦大（XMU）,1921年4月6日,综合类,中华人民共和国教育部
西北工业大学,Northwestern Polytechnical University,西工大、西北工大、NPU、NWPU,1938年10月,理工,中华人民共和国工业和信息化部
中南大学,Central South University ,CSU,2000年4月,综合,中华人民共和国教育部
东北大学,Northeastern University（NEU）,无信息,1923年（癸亥年）4月,理工,中华人民共和国教育部
湖南大学,Hunan University,湖大·HNU,1903年,综合类（研究型大学）,中华人民共和国教育部
大连理工大学,Dalian University of Technology,大工（DUT）,1949年4月,理工类,中华人民共和国教育部
华南理工大学,South China University of Technology,华南理工（SCUT）,1952年,理工,中华人民共和国教育部
北京理工大学,Beijing Institute of Technology,北理工（BIT）,1940年,理工,中华人民共和国工业和信息化部
兰州大学,Lanzhou University,兰大,1909年,综合,中华人民共和国教育部
华东师范大学,East China Normal University,华东师大、ECNU,1951年,师范（综合类）,中华人民共和国教育部
中国农业大学,无信息,中国农大、CAU,1905年,农林,中华人民共和国教育部
电子科技大学,University of Electronic Science and Technology of China,成电、电子科大、UESTC[8] ,1956年,理工,中华人民共和国教育部
重庆大学,Chongqing University,重大（CQU）,1929年10月12日,综合类,中华人民共和国教育部
华中农业大学,Huazhong Agricultural University 或 Central China Agricultural University,华农，HZAU,1898年,农林类,中华人民共和国教育部
河海大学,Hohai University,河海（HHU）,1915年,理工类,中华人民共和国教育部
南京农业大学,Nanjing Agricultural University ,南农、南农大、南京农大,1902年 ,综合,无信息
华中师范大学,Central China Normal University,华大、华中师大、CCNU,1903年,师范类,中华人民共和国教育部
郑州大学,Zhengzhou University,郑大（ZZU）[2] ,1956年,综合,河南省
中国海洋大学,Ocean University of China,中国海大、海大（OUC）,1924年,综合类,中华人民共和国教育部
西安电子科技大学,Xidian University,西电、西军电、XDU[6] ,1931年,理工类,中华人民共和国教育部
北京科技大学,University of Science and Technology Beijing,北科大、北京科大（USTB）,1952年,理工,中华人民共和国教育部
南京理工大学,Nanjing University of Science and Technology,南理工（NJUST）,1953年,综合,中华人民共和国工业和信息化部
北京交通大学,Beijing Jiaotong University,北京交大、BJTU,1896年,理工,中华人民共和国教育部
华东理工大学,East China University of Science and Technology,华理（ECUST）,1952年（壬辰年）10月25日,理工类,中华人民共和国教育部
北京邮电大学,Beijing University of Posts and Telecommunications,北邮、BUPT,1955年,理工,中华人民共和国教育部
合肥工业大学,Hefei University of Technology,合工大·HFUT,1945年,理工类,中华人民共和国教育部
南昌大学,Nanchang University,南大（NCU）,1921年,综合,江西省
南京航空航天大学,Nanjing University of Aeronautics and Astronautics,南航、NUAA,1952年10月,理工,中华人民共和国工业和信息化部
武汉理工大学,Wuhan University of Technology,武汉理工（WUT）,‍2000年,理工,中华人民共和国教育部
西南交通大学,Southwest Jiaotong University,西南交大（SWJTU）,1896年,理工,中华人民共和国教育部
暨南大学,inan University,暨大,1906年,综合,中央统战部
西南大学,Southwest University,西大、SWU,1906年,综合,中华人民共和国教育部
西北农林科技大学,Northwest A&F University,西农、西北农大、NWAFU,1934年,农林,中华人民共和国教育部
东华大学,Donghua University,DHU[1] ,1951年,综合,中华人民共和国教育部[1] 
西北大学,Northwest University,西大、NWU,1902年,综合,陕西省
中南财经政法大学,Zhongnan University of Economics and Law,中南大（ZUEL）,1948年（戊子年）,财经政法类,中华人民共和国教育部
苏州大学,Soochow University,苏大,1900年5月18日（清光绪二十六年）,综合类,江苏省
北京化工大学,Beijing University of Chemical Technology,北化（BUCT）,1958年,理工类,中华人民共和国教育部
昆明理工大学,Kunming University of Science and Technology,昆工,1954年（甲午年）,理工类,云南省
南京师范大学,Nanjing Normal University,南京师大、南师大、南师、NNU、NJNU[3] ,无信息,师范（综合类）,江苏省
上海财经大学,Shanghai University of Finance and Economics,上海财大（SUFE）,1917年,财经,中华人民共和国教育部
湖南师范大学,Hunan Normal University,湖南师大,1938年,师范类,湖南省
云南大学,Yunnan University,云大（YNU）,1922年12月8日成立，1923年4月20日开学,研究型大学；综合性大学,云南省
上海大学,Shanghai University,上大（SHU）,1994年5月27日,综合,上海市
哈尔滨工程大学,Harbin Engineering University,哈工程（HEU）,1953年,理工类,中华人民共和国工业和信息化部
华南农业大学,South China Agricultural University,华农，华农大，SCAU,1909年,农林类,广东省
东北师范大学,Northeast Normal University,东北师大、NENU,1946年,师范类,中华人民共和国教育部
北京工业大学,Beijing University of Technology,北工大（BJUT）,1960年,理工,北京市
中国地质大学（武汉）,China University of Geosciences，Wuhan,地大（CUG）,1952年,综合,中华人民共和国教育部
华南师范大学,South China Normal University,华南师大、SCNU,1933年,师范类,广东省
宁波大学,Ningbo University,宁大（NBU）,1986年,综合,浙江省人民政府
燕山大学,Yanshan University,燕大（YSU）[5] ,1920年,综合性大学[3] ,河北省
中国石油大学（北京）,"China University of Petroleum,Beijing",中石大（CUP）,1953年,理工,中华人民共和国教育部
太原理工大学,Taiyuan University of Technology,太原理工（TYUT）,1902年,理工,山西省
上海理工大学,University of Shanghai for Science and Technology,上理工、上理、USST,1906年[1] ,综合,上海市
中国矿业大学,China University of Mining and Technology,中国矿大（CUMT）,1909年（己酉年）,综合类,中华人民共和国教育部
陕西师范大学,Shaanxi Normal University,陕西师大、陕师大、SNNU,1944年,师范（综合类）,中华人民共和国教育部
江南大学,Jiangnan University,JNU,1958年,综合,中华人民共和国教育部
首都师范大学,Capital Normal University（CNUEF）,无信息,1954年,综合,北京市人民政府
浙江工业大学,Zhejiang University of Technology,浙工大、ZJUT,1953年,综合[3] ,浙江省
中国石油大学（华东）,China University of Petroleum (East China),中石大、石大（UPC）,1953年,理工,中华人民共和国教育部
浙江师范大学,Zhejiang Normal University,浙师大,1956年,师范类（综合类）,浙江省
河北大学,Hebei University,河大（HBU）,1921年,综合,河北省
对外经济贸易大学,University of International Business and Economics,对外经贸大学、贸大（UIBE）,1951年,财经,中华人民共和国教育部
扬州大学,Yangzhou University,扬大,1902年,综合,江苏省
江苏大学,Jiangsu University,江大（JSU）[5] ,1902年（壬寅年）,综合、研究教学型大学,江苏省
杭州电子科技大学,Hangzhou Dianzi University,杭电,1956年,综合,浙江省
辽宁大学,Liaoning University,辽大,1948年,综合,辽宁省
中央民族大学,Minzu University of China，MUC,中央民大,1941年（辛巳年）9月,民族类,国家民族事务委员会
山西大学,Shanxi University[13] ,山大（SXU）,1902年,综合类,山西省人民政府
南京工业大学,Nanjing Tech University,南工、南工大、Nanjing Tech、NJTech,1902年办学；2001年组建,理工,江苏省
齐鲁工业大学（山东省科学院）,Qilu University of Technology（QLU）,齐鲁工大,1948年,理工类,山东省
广东工业大学,Guangdong University of Technology,广工大（GDUT）,1958年,理工,广东省人民政府
河南科技大学,Henan University of Science and Technology,河科大（HAUST）,1952年,教学研究型大学；综合性大学,河南省人民政府
山东师范大学,Shandong Normal University,山东师大[8] ,1950年10月29日,师范,山东省
河北工业大学,Hebei University of Technology,河工大（HEBUT）,1903年,理工类,河北省
成都理工大学,Chengdu University of Technology,成都理工、CDUT,1956年,综合,四川省人民政府
武汉科技大学,Wuhan University of Science and Technology[1] ,武科大 WUST[1] ,1898年,综合类,湖北省